Status	ReadID	Taxonomy	Kingdom	Phylum	Class	Order	Family	Genus	Species
C	NS500322:33:H5CC5BGXX:1:11103:15209:13560	root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Dorea;s_Dorea sp. 5-2	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	Dorea sp. 5-2
C	NS500322:33:H5CC5BGXX:1:11101:20494:8465	root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Dorea;s_Dorea sp. 5-2	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	Dorea sp. 5-2
C	NS500322:33:H5CC5BGXX:1:11105:18385:1073	root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Dorea;s_Dorea sp. 5-2	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	Dorea sp. 5-2
C	NS500322:33:H5CC5BGXX:1:11102:2597:10493	root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides sartorii	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sartorii
C	NS500322:33:H5CC5BGXX:1:11103:21875:9899	root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Eubacteriaceae;g_Eubacterium;s_Eubacterium ramulus	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium ramulus
C	NS500322:33:H5CC5BGXX:1:11104:18490:7696	root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_;s_Lachnospiraceae bacterium 3_1_57FAA_CT1	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		Lachnospiraceae bacterium 3_1_57FAA_CT1
C	NS500322:33:H5CC5BGXX:1:11103:7253:17164	root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides sartorii	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sartorii
C	NS500322:33:H5CC5BGXX:1:11103:15626:14849	root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Oscillospiraceae;g_Oscillibacter;s_Oscillibacter sp. 1-3	Bacteria	Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	Oscillibacter	Oscillibacter sp. 1-3
C	NS500322:33:H5CC5BGXX:1:11101:8275:10610	root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Ruminococcaceae;g_Anaerotruncus;s_Anaerotruncus sp. G3(2012)	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	Anaerotruncus sp. G3(2012)
C	NS500322:33:H5CC5BGXX:1:11104:10612:19636	root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Roseburia;s_Roseburia inulinivorans	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia inulinivorans
